#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
9425	0.1627	0
9426	0.227	1
9435	0.0863	6
9451	0.0727	0
9521	0.3825	22
9522	0.1101	0
9523	0.2281	7
9579	0.1416	32
9605	0.0478	2
9607	0.0628	19
9615	0.1045	22
9628	0.0157	3
9653	0.0398	0
9767	0.4908	2
9772	0.2436	0
9847	0.0815	0
9889	0.0854	0
9891	0.0273	1
9893	0.0246	1
9987	0.5119	5781
10035	0.0607	9
10038	0.0654	9
10467	0.2014	279
10468	0.0873	0
10556	0.0854	0
10557	0.0273	1
10604	0.0273	1
10608	0.0588	2
10628	0.0369	4
10876	0.1171	0
15031	0.0691	1
15074	0.0432	0
15075	0.0829	26
15077	0.0442	32
15078	0.0316	25
15079	0.0478	5
15081	0.0129	0
15097	0.1259	0
15098	0.1115	2
15103	0.1003	10
15116	0.091	6
15144	0.1825	7
15197	0.0598	2
15235	0.3234	8
15267	0.0103	0
15291	0.0481	1
15293	0.0634	1
15294	0.0637	1
15295	0.0999	1
15370	0.0179	0
15399	0.1159	33
15405	0.1159	33
15419	0.1047	6
15420	0.3496	8
15604	0.1922	6
15662	0.0806	6
15672	0.0745	36
15689	0.1115	2
15694	0.1259	0
15698	0.1504	16
15711	0.0297	1
15716	0.2537	4
15774	0.1046	1
15833	0.0339	2
15849	0.0302	1
15920	0.2459	0
15935	0.1866	0
15939	0.4036	4
15940	0.4951	4
15947	0.4856	34
15948	0.4856	34
15975	0.4856	34
15979	0.1167	33
15980	0.1019	34
15985	0.1362	18
15986	0.1362	18
15988	0.1464	6
15991	0.1605	6
15992	0.0463	21
15994	0.0316	0
15995	0.0334	0
16020	0.2739	68
16021	0.1771	19
16032	0.1912	7
16043	0.0826	0
16051	0.0692	7
16052	0.0429	2
16053	0.1869	73
16054	0.0871	0
16070	0.1278	7
16072	0.0581	0
16114	0.1099	3
16151	0.2082	10
16163	0.1614	0
16168	0.4532	8
16337	0.1767	0
16405	0.1702	0
16433	0.0663	0
16462	0.121	24
16469	0.1274	18
16491	0.1118	34
16628	0.0342	0
16651	0.1807	26
16652	0.3227	0
16655	0.2427	26
16661	0.087	1
16695	0.122	3
16699	0.0608	4
16725	0.0169	0
16730	0.0773	4
16732	0.1614	0
16740	0.2248	0
16741	0.053	0
16746	0.0465	0
16747	0.0382	0
16757	0.026	1
16763	0.047	1
16772	0.0815	0
16773	0.0375	0
16779	0.0378	2
16782	0.0661	1
16787	0.2817	172
16788	0.1278	97
16798	0.0837	1
16810	0.0302	4
16811	0.0156	4
16817	0.1197	24
16818	0.1207	24
16820	0.1395	33
16829	0.0725	0
16835	0.0474	0
16836	0.0884	0
16837	0.0854	0
16840	0.0328	4
16841	0.0445	4
16851	0.3086	0
16853	0.0361	1
16859	0.017	0
16874	0.1113	8
16875	0.19	11
16876	0.19	11
16877	0.086	0
16878	0.086	0
16879	0.1103	4
16881	0.114	0
16884	0.1158	4
16887	0.108	2
17004	0.0265	0
17076	0.2142	225
17111	0.1201	24
18130	0.1556	113
18193	0.036	0
18208	0.017	0
18298	0.0331	0
18493	0.1416	0
18697	0.1614	0
18822	0.4437	1
19001	0.0446	0
19012	0.2322	56
19015	0.6144	46
19028	0.0569	5
19038	0.6144	46
19058	0.1139	5
19068	0.1552	5
19069	0.2947	5
19219	0.0855	0
19222	0.0933	0
19288	0.3496	3
19318	0.0363	0
19320	0.0682	0
19359	0.1645	5
19362	0.1032	1
19363	0.1432	5
19386	0.4755	0
19438	0.1525	124
19439	0.054	0
19538	0.1906	202
19545	0.1177	0
19627	0.4242	8
19634	0.4521	7
19637	0.1537	62
19674	0.1646	5
19682	0.3496	3
19684	0.1406	2
19693	0.1225	25
19700	0.5865	0
19720	0.1798	0
19748	0.027	2
19752	0.1994	107
19829	0.2023	23
19843	0.4152	58
19867	0.0527	0
20037	0.0404	3
22603	0.0929	0
22604	0.0952	0
22607	0.0566	0
22610	0.0551	0
22613	0.065	0
22803	0.0103	0
22804	0.1112	39
22857	0.1042	60
22890	0.0698	30
22891	0.0957	42
22892	0.0913	38
22900	0.0707	2
23052	0.0297	0
30001	0.0405	18
30030	0.0516	0
30031	0.0384	0
30153	0.1695	2
30170	0.045	1
30203	0.0631	0
30234	0.0305	0
30260	0.2071	0
30261	0.0925	0
30269	0.4892	0
30288	0.0615	8
30312	0.0633	7
30313	0.0705	7
30420	0.071	0
30529	0.3097	119
30554	0.1962	161
30599	0.5401	10
30694	0.4083	0
30699	0.2497	0
31167	0.0805	0
31224	0.178	19
31323	0.089	0
31325	0.0246	1
31326	0.0854	0
31328	0.0273	1
31344	0.038	0
31597	0.7873	4
31975	0.07	7
32196	0.064	6
32259	0.0501	0
32268	0.0524	2
32324	0.1798	0
32502	0.0726	0
32506	0.0132	0
32549	0.2193	232
32550	0.2187	223
32553	0.2107	229
32555	0.2129	223
32559	0.1952	159
32561	0.0446	0
32774	0.0876	0
32787	0.0522	0
32940	0.0398	0
32989	0.0854	0
32991	0.1914	188
33013	0.2032	44
33014	0.2214	44
33036	0.079	1
33037	0.1046	1
33043	0.038	0
33178	0.1739	1
33554	0.0605	0
34062	0.0487	0
34220	0.0817	24
34357	0.1416	32
