#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
15985	0.0637	0
15986	0.0637	0
15988	0.0965	6
15991	0.1038	6
15992	0.0679	8
15994	0.1046	0
15995	0.1104	0
16020	0.2948	225
16021	0.1912	59
16032	0.134	0
16043	0.0514	0
16050	0.085	1
16051	0.054	10
16052	0.0308	0
16053	0.15	46
16070	0.1454	15
16072	0.0333	0
16114	0.0739	0
16151	0.217	11
16168	0.3208	4
16301	0.0491	2
16310	0.0498	2
16405	0.1482	0
16462	0.102	14
16469	0.0626	3
16491	0.1728	4
16641	0.0359	0
16642	0.2501	2
16651	0.184	29
16655	0.246	38
16661	0.2139	6
16695	0.1618	1
16699	0.246	1
16701	0.0747	0
16702	0.0265	0
16725	0.1041	0
16730	0.0962	0
16740	0.2333	12
16741	0.1017	34
16757	0.0367	0
16772	0.0815	18
16773	0.0326	0
16775	0.0239	0
16782	0.0128	2
16787	0.2435	0
16788	0.0742	11
16798	0.0424	0
16814	0.0207	0
16817	0.1014	17
16818	0.1021	17
16820	0.0435	2
16829	0.0747	0
16835	0.0524	1
16836	0.0769	4
16840	0.0316	1
16841	0.0881	2
16849	0.0387	1
16853	0.0369	1
16854	0.0378	0
16857	0.0382	0
16874	0.1146	24
16875	0.174	22
16876	0.174	22
16887	0.0574	3
16903	0.0291	0
17004	0.0118	0
17076	0.1624	67
17111	0.0995	14
17171	0.0255	4
18130	0.1785	91
18298	0.3916	21
18492	0.2519	0
18662	0.1267	2
18822	0.0692	4
19012	0.1172	23
19015	0.3784	29
19038	0.3784	29
19058	0.0944	1
19068	0.1293	1
19069	0.1929	1
19219	0.1274	12
19222	0.132	12
19288	0.3197	1
19318	0.0246	0
19438	0.1732	64
19464	0.1898	2
19509	0.0966	5
19538	0.1781	174
19545	0.2025	0
19627	0.3736	1
19634	0.4965	11
19637	0.1372	25
19682	0.3197	1
19684	0.1465	3
19693	0.0893	0
19700	0.3255	0
19720	0.2405	7
19752	0.1877	98
19829	0.0738	0
19843	0.3511	46
20037	0.0261	0
22402	0.0398	1
22603	0.0836	0
22604	0.0854	0
22607	0.0301	0
22613	0.0426	0
22803	0.0673	0
22804	0.0519	3
22829	0.09	0
22857	0.0727	10
22890	0.0443	8
22891	0.0558	0
22892	0.0647	0
22900	0.0729	5
22904	0.0235	0
23014	0.0299	0
23052	0.0584	9
30001	0.0687	12
30030	0.0535	0
30031	0.0306	0
30076	0.345	27
30077	0.1509	0
30089	0.4666	27
30203	0.0394	0
30246	0.0231	3
30260	0.0404	0
30261	0.0378	0
30312	0.0401	8
30313	0.0381	8
30493	0.3387	0
30494	0.3387	0
30529	0.2718	106
30554	0.1472	13
30694	0.4068	0
31224	0.1915	59
31323	0.1275	12
31326	0.1282	12
31410	0.1265	0
31411	0.2709	0
31412	0.0947	1
31975	0.0379	8
31982	0.0977	0
32196	0.1728	28
32259	0.1032	26
32268	0.021	1
32324	0.2405	7
32392	0.1573	0
32502	0.0544	0
32506	0.0578	1
32508	0.1573	0
32549	0.162	66
32550	0.1613	65
32553	0.1623	63
32555	0.1596	65
32559	0.1454	12
32774	0.1301	12
32787	0.0528	4
32940	0.0407	0
32989	0.0846	0
32991	0.2174	311
33013	0.1832	40
33014	0.1946	40
33036	0.0505	0
33037	0.0623	2
33178	0.0909	0
33554	0.0425	0
33692	0.0702	9
33988	0.0519	0
34220	0.0634	10
34308	0.4184	4
34357	0.41	190
34470	0.066	0
34622	0.009	0
34637	0.0654	9
34641	0.2954	560
34645	0.2064	190
34654	0.1418	6
34660	0.1165	13
35383	0.1366	0
35435	0.4122	1
35556	0.0525	6
35639	0.162	65
36094	0.1975	75
36211	0.0703	40
38023	0.0397	0
40011	0.1249	3
42126	0.2286	2
42168	0.0662	2
42221	0.0213	0
42254	0.0426	0
42278	0.0533	0
42330	0.0458	0
42364	0.2153	38
42401	0.0892	0
42430	0.0735	0
42435	0.1654	0
42440	0.0913	0
42451	0.0397	0
42455	0.0484	0
42546	0.1157	0
42623	0.0511	2
42625	0.0603	0
42626	0.0464	2
42651	0.3599	68
42716	0.1509	0
42723	0.078	1
42724	0.0907	1
42777	0.1213	0
42995	0.0951	15
43038	0.2775	18
43039	0.2775	18
43094	0.029	4
43102	0.0966	5
43167	0.2811	358
43168	0.1975	116
43169	0.148	6
43170	0.3149	634
43226	0.2052	130
43228	0.2176	130
43229	0.2076	130
43232	0.2176	130
43234	0.1273	118
43412	0.0738	38
43419	0.6161	0
43436	0.1881	98
43492	0.0464	2
43545	0.2405	7
43570	0.0327	7
43571	0.0327	7
43603	0.0562	0
43604	0.0212	0
43605	0.2146	0
43623	0.0086	0
43711	0.1816	0
44036	0.0365	0
44038	0.1249	0
44042	0.0879	0
44085	0.0653	0
44106	0.0335	0
44237	0.4599	3609
44238	0.429	2302
44248	0.0565	0
44249	0.3112	851
44255	0.0774	4
44260	0.2871	588
44262	0.0579	10
44264	0.062	9
44267	0.2115	179
44270	0.0503	0
44271	0.1694	62
44272	0.0553	0
44281	0.2664	357
44283	0.2078	88
44391	0.2299	3
44403	0.0336	0
44409	0.0404	0
44419	0.0336	0
44422	0.1528	2
44423	0.1192	23
44424	0.2923	634
44425	0.2114	241
44427	0.1872	19
44433	0.1465	0
44436	0.41	190
44444	0.2267	110
44446	0.1398	3
44461	0.2002	15
44463	0.2002	15
44464	0.306	847
44699	0.4307	2953
44700	0.0584	9
44710	0.3649	1477
44711	0.2295	240
44712	0.0646	0
44723	0.0621	14
44763	0.3381	1111
44764	0.0214	0
44765	0.1066	20
44767	0.0501	0
44769	0.0948	0
44781	0.0192	0
45156	0.1356	0
45184	0.0512	0
45259	0.0118	0
45261	0.0177	0
45333	0.0475	0
45491	0.1613	1
45493	0.1613	1
46128	0.0537	0
46129	0.0397	0
46148	0.1054	0
46219	0.1654	0
46390	0.0701	0
46394	0.1509	46
46434	0.0496	1
46467	0.1075	0
46483	0.2976	622
46490	0.3197	1
46493	0.1412	0
46501	0.1304	0
