#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
15420	0.0011	0
15604	1.0E-4	0
15662	5.0E-4	0
15672	0.0092	0
15689	2.0E-4	0
15698	0.0031	0
15716	3.0E-4	0
15734	1.0E-4	0
15774	5.0E-4	0
15935	3.0E-4	0
15945	3.0E-4	0
15946	3.0E-4	0
15979	0.0064	0
15980	0.0081	0
15985	0.0032	0
15986	0.0032	0
15988	0.0017	0
15991	0.0017	0
15992	0.0048	0
15994	0.0015	0
15995	0.0014	0
16020	0.2331	0
16021	0.14	0
16032	0.0014	0
16043	0.0211	0
16050	6.0E-4	0
16051	0.0136	0
16052	0.0072	0
16053	0.0178	0
16070	0.089	0
16072	0.0055	0
16114	0.0011	0
16151	0.0015	0
16168	5.0E-4	0
16301	0.0268	0
16310	0.0288	0
16405	2.0E-4	0
16462	0.0388	0
16469	0.0031	0
16491	0.0823	0
16641	0.0032	0
16642	2.0E-4	0
16651	0.0067	0
16655	0.0046	0
16661	0.0012	0
16695	3.0E-4	0
16699	2.0E-4	0
16701	0.0013	0
16702	0.0013	0
16725	5.0E-4	0
16730	8.0E-4	0
16740	0.1634	0
16741	0.0345	0
16757	0.0132	0
16772	0.0522	0
16773	0.0152	0
16775	0.0044	0
16782	0.0034	0
16787	0.0047	0
16788	0.058	0
16798	0.0168	0
16814	0.001	0
16817	0.0396	0
16818	0.041	0
16820	0.0076	0
16829	0.0324	0
16835	0.0084	0
16836	0.0044	0
16840	0.0014	0
16841	3.0E-4	0
16849	0.0041	0
16853	0.0205	0
16854	0.0023	0
16857	0.0012	0
16874	0.0149	0
16875	0.0033	0
16876	0.0033	0
16887	0.0157	0
16903	0.0024	0
17004	0.0022	0
17076	0.065	0
17111	0.037	0
17171	0.0078	0
18130	0.1038	0
18298	0.0015	0
18492	2.0E-4	0
18662	2.0E-4	0
18822	2.0E-4	0
19012	0.0041	0
19015	0.0013	0
19038	0.0013	0
19058	0.0011	0
19068	8.0E-4	0
19069	6.0E-4	0
19219	0.0712	0
19222	0.0802	0
19288	5.0E-4	0
19318	0.0062	0
19438	0.1032	0
19464	2.0E-4	0
19509	2.0E-4	0
19538	0.0617	0
19545	2.0E-4	0
19627	3.0E-4	0
19634	4.0E-4	0
19637	0.038	0
19682	5.0E-4	0
19684	0.0012	0
19693	0.0197	0
19700	1.0E-4	0
19720	6.0E-4	0
19752	0.0317	0
19829	0.0024	0
19843	0.007	0
20037	0.0131	0
22402	0.0043	0
22603	0.0026	0
22604	0.0026	0
22607	0.0141	0
22613	0.0043	0
22803	0.0035	0
22804	0.0167	0
22829	0.0018	0
22857	0.0342	0
22890	0.0154	0
22891	0.0292	0
22892	0.0343	0
22900	0.0084	0
22904	0.0046	0
23014	0.0043	0
23052	0.0216	0
30001	0.0083	0
30030	0.0048	0
30031	0.0033	0
30076	0.0027	0
30077	7.0E-4	0
30089	0.0024	0
30203	0.0047	0
30246	0.008	0
30260	4.0E-4	0
30261	4.0E-4	0
30312	0.0203	0
30313	0.019	0
30493	2.0E-4	0
30494	2.0E-4	0
30529	0.0143	0
30554	0.0616	0
30694	4.0E-4	0
31224	0.1411	0
31323	0.0761	0
31326	0.075	0
31410	0.001	0
31411	6.0E-4	0
31412	5.0E-4	0
31975	0.0189	0
31982	0.0014	0
32196	0.007	0
32259	0.0332	0
32268	0.0013	0
32324	6.0E-4	0
32392	6.0E-4	0
32502	0.0057	0
32506	0.0024	0
32508	6.0E-4	0
32549	0.0684	0
32550	0.0679	0
32553	0.0737	0
32555	0.0661	0
32559	0.0599	0
32774	0.0739	0
32787	0.007	0
32940	0.0104	0
32989	0.0023	0
32991	0.0375	0
33013	0.0082	0
33014	0.0077	0
33036	0.0188	0
33037	5.0E-4	0
33178	0.0012	0
33554	0.0122	0
33692	0.0054	0
33988	4.0E-4	0
34220	0.0098	0
34308	3.0E-4	0
34357	0.005	0
34470	0.0107	0
34622	0.0032	0
34637	0.0056	0
34641	0.1926	0
34645	0.1136	0
34654	0.0891	0
34660	0.0132	0
35383	6.0E-4	0
35435	1.0E-4	0
35556	0.0081	0
35639	0.0643	0
36094	0.104	0
36211	0.0154	0
38023	0.0042	0
40011	0.0069	0
42126	3.0E-4	0
42168	0.0012	0
42221	0.0092	0
42254	0.0043	0
42278	0.017	0
42330	0.0035	0
42364	0.0075	0
42401	5.0E-4	0
42430	0.0024	0
42435	0.001	0
42440	0.0036	0
42451	0.0049	0
42455	0.0057	0
42546	0.002	0
42623	0.0098	0
42625	0.0032	0
42626	0.0069	0
42651	0.0045	0
42716	7.0E-4	0
42723	0.0025	0
42724	0.0016	0
42777	0.0017	0
42995	0.0059	0
43038	0.0021	0
43039	0.0021	0
43094	6.0E-4	0
43102	2.0E-4	0
43167	0.1738	0
43168	0.0869	0
43169	0.0886	0
43170	0.2148	6
43226	0.0253	0
43228	0.0247	0
43229	0.0264	0
43232	0.0247	0
43234	0.0226	0
43412	0.0268	0
43419	2.0E-4	0
43436	0.0311	0
43492	0.0069	0
43545	6.0E-4	0
43570	7.0E-4	0
43571	7.0E-4	0
43603	0.0038	0
43604	0.0025	0
43605	3.0E-4	0
43623	0.0033	0
43711	0.001	0
44036	0.0057	0
44038	0.001	0
44042	0.0025	0
44085	0.017	0
44106	0.0026	0
44237	0.3084	0
44238	0.3058	8
44248	0.0291	0
44249	0.1646	0
44255	0.0161	0
44260	0.1838	0
44262	0.0078	0
44264	0.0064	0
44267	0.0405	1
44270	0.019	0
44271	0.1043	0
44272	0.0058	0
44281	0.0724	0
44283	0.0234	0
44391	0.0021	0
44403	0.0032	0
44409	4.0E-4	0
44419	0.0032	0
44422	0.0086	0
44423	0.0043	0
44424	0.0807	0
44425	0.1477	0
44427	0.0019	0
44433	7.0E-4	0
44436	0.005	0
44444	0.0189	0
44446	0.006	0
44461	0.0028	0
44463	0.0028	0
44464	0.1772	0
44699	0.3016	27
44700	0.0216	0
44710	0.1943	1
44711	0.0538	0
44712	0.022	0
44723	0.0242	0
44763	0.2173	0
44764	0.0047	0
44765	0.065	0
44767	0.0059	0
44769	0.0021	0
44781	0.0034	0
45156	8.0E-4	0
45184	0.0189	0
45259	0.0072	0
45261	0.0014	0
45333	0.007	0
45491	6.0E-4	0
45493	6.0E-4	0
46128	0.0174	0
46129	0.0049	0
46148	0.004	0
46219	0.001	0
46390	0.0064	0
46394	0.0171	0
46434	0.011	0
46467	0.0017	0
46483	0.193	0
46490	5.0E-4	0
46493	0.001	0
46501	3.0E-4	0
46559	3.0E-4	0
46821	0.0012	0
46872	0.0871	0
46903	0.0106	0
46906	0.0155	0
46914	0.0421	0
46933	0.0014	0
46992	3.0E-4	0
48037	0.0327	0
48038	0.0032	0
48856	0.0051	0
48869	0.0052	0
48870	0.0052	0
50136	0.0027	0
50485	3.0E-4	0
50789	0.1009	0
50793	0.0027	0
50794	0.0968	0
50896	0.0587	0
51119	0.0013	0
51128	0.0031	0
51171	0.0712	0
51179	0.1087	0
51183	0.0014	0
51186	0.0174	0
51188	0.012	0
51189	7.0E-4	0
51213	0.0134	0
51234	0.103	0
51246	0.0013	0
51252	0.0692	0
51276	0.0014	0
51301	0.0074	0
51302	3.0E-4	0
51536	0.0169	0
51539	0.006	0
51540	0.0173	0
51607	0.0019	0
51641	0.0128	0
51649	0.0119	0
51674	0.0052	0
51701	9.0E-4	0
51704	0.0158	0
51707	0.0034	0
51716	0.0342	0
51726	2.0E-4	0
51806	4.0E-4	0
51828	4.0E-4	0
52126	4.0E-4	0
52192	4.0E-4	0
52636	1.0E-4	0
52689	0.0038	0
52803	0.001	0
