#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
9308	0.0042	0
9309	0.0015	0
9311	0.0028	0
9312	0.0029	0
9325	4.0E-4	0
9376	2.0E-4	0
9399	0.001	0
9401	0.0054	0
9404	0.002	0
9405	0.009	0
9425	0.0024	0
9426	4.0E-4	0
9435	9.0E-4	0
9451	0.0093	0
9521	0.001	0
9522	3.0E-4	0
9523	7.0E-4	0
9579	0.0015	0
9605	0.0063	0
9607	0.0047	0
9615	0.0024	0
9628	0.0019	0
9653	0.0048	0
9767	6.0E-4	0
9772	3.0E-4	0
9847	0.0015	0
9889	0.0641	0
9891	5.0E-4	0
9893	5.0E-4	0
9987	0.4016	0
10035	0.005	0
10038	0.0014	0
10467	0.1043	0
10468	0.0655	0
10556	0.0641	0
10557	5.0E-4	0
10604	5.0E-4	0
10608	0.0033	0
10628	4.0E-4	0
10876	8.0E-4	0
15031	0.0168	0
15074	0.0065	0
15075	0.0262	0
15077	0.012	0
15078	0.0099	0
15079	7.0E-4	0
15081	0.0034	0
15097	0.0023	0
15098	3.0E-4	0
15103	0.0037	0
15116	4.0E-4	0
15144	0.0045	0
15197	7.0E-4	0
15235	0.0011	0
15267	0.0031	0
15291	0.008	0
15293	0.0052	0
15294	0.0049	0
15295	0.0024	0
15370	0.0032	0
15399	0.0107	0
15405	0.0107	0
15419	3.0E-4	0
15420	0.001	0
15604	3.0E-4	0
15662	5.0E-4	0
15672	0.0118	0
15689	3.0E-4	0
15694	0.0023	0
15698	0.0042	0
15711	0.0045	0
15716	4.0E-4	0
15774	0.001	0
15833	6.0E-4	0
15849	0.0042	0
15920	4.0E-4	0
15935	0.001	0
15939	6.0E-4	0
15940	4.0E-4	0
15947	0.005	0
15948	0.005	0
15975	0.005	0
15979	0.0022	0
15980	0.0086	0
15985	0.0044	0
15986	0.0044	0
15988	0.0023	0
15991	0.0023	0
15992	0.0049	0
15994	0.001	0
15995	9.0E-4	0
16020	0.2183	0
16021	0.1364	0
16032	0.0031	0
16043	0.0247	0
16051	0.015	0
16052	0.0101	0
16053	0.0265	0
16054	0.0043	0
16070	0.0852	0
16072	0.0043	0
16114	0.0023	0
16151	0.0021	0
16163	2.0E-4	0
16168	4.0E-4	0
16337	4.0E-4	0
16405	2.0E-4	0
16433	3.0E-4	0
16462	0.0416	0
16469	0.0042	0
16491	0.0639	0
16628	0.0013	0
16651	0.0043	0
16652	4.0E-4	0
16655	0.0047	0
16661	0.001	0
16695	8.0E-4	0
16699	9.0E-4	0
16725	6.0E-4	0
16730	0.0012	0
16732	2.0E-4	0
16740	0.1794	0
16741	0.0374	0
16746	0.0366	0
16747	0.0296	0
16757	0.0161	0
16763	0.0037	0
16772	0.0599	0
16773	0.0173	0
16779	0.0189	0
16782	0.0032	0
16787	0.2116	0
16788	0.0616	0
16798	0.0199	0
16810	0.0138	0
16811	0.0054	0
16817	0.0439	0
16818	0.0429	0
16820	0.009	0
16829	0.0285	0
16835	0.0088	0
16836	0.0057	0
16837	0.0011	0
16840	0.0032	0
16841	0.0011	0
16851	3.0E-4	0
16853	0.0195	0
16859	0.0016	0
16874	0.0187	0
16875	0.0119	0
16876	0.0119	0
16877	8.0E-4	0
16878	8.0E-4	0
16879	0.0082	0
16881	0.0019	0
16884	0.0022	0
16887	0.0216	0
17004	0.0022	0
17076	0.0835	3
17111	0.0411	0
18130	0.1024	1
18193	0.003	0
18208	0.0016	0
18298	3.0E-4	0
18493	2.0E-4	0
18697	2.0E-4	0
18822	3.0E-4	0
19001	0.0085	0
19012	0.0062	0
19015	0.0052	0
19028	0.0033	0
19038	0.0052	0
19058	0.0019	0
19068	0.0015	0
19069	6.0E-4	0
19219	0.0621	0
19222	0.071	0
19288	8.0E-4	0
19318	0.0058	0
19320	0.0059	0
19359	0.0013	0
19362	0.0028	0
19363	0.001	0
19386	0.0021	0
19438	0.0993	0
19439	0.0247	0
19538	0.0636	0
19545	3.0E-4	0
19627	4.0E-4	0
19634	6.0E-4	0
19637	0.0442	0
19674	0.0014	0
19682	8.0E-4	0
19684	7.0E-4	0
19693	0.0237	0
19700	2.0E-4	0
19720	0.0014	0
19748	0.0022	0
19752	0.0376	0
19829	0.0035	0
19843	0.005	0
19867	0.0215	0
20037	0.0065	0
22603	0.0025	0
22604	0.0025	0
22607	0.014	0
22610	0.0087	0
22613	0.0056	0
22803	0.0031	0
22804	0.0195	0
22857	0.0407	0
22890	0.0171	0
22891	0.0342	0
22892	0.0355	0
22900	0.0061	0
23052	0.0206	0
30001	0.0096	0
30030	0.005	0
30031	0.0038	0
30153	7.0E-4	0
30170	0.0051	0
30203	0.0066	0
30234	0.0033	0
30260	2.0E-4	0
30261	7.0E-4	0
30269	0.0021	0
30288	0.0038	0
30312	0.0194	0
30313	0.0202	0
30420	7.0E-4	0
30529	0.0171	0
30554	0.0746	4
30599	3.0E-4	0
30694	7.0E-4	0
30699	0.0014	0
31167	0.0022	0
31224	0.1359	0
31323	0.067	0
31325	5.0E-4	0
31326	0.0641	0
