#go	freq
70161	2.3280274483748272E-7
70160	5.354463131262103E-6
52306	4.6560548967496545E-7
52309	4.6560548967496545E-7
34968	1.0941729007361689E-5
34969	2.3280274483748272E-7
70178	2.3280274483748272E-7
70180	9.284173464118811E-4
34979	2.49331739720944E-4
52330	2.3280274483748272E-7
34986	2.3280274483748272E-7
70181	4.467484673431294E-4
52331	1.6296192138623792E-5
70193	2.3280274483748272E-7
70189	1.7623167784197442E-4
70192	2.3280274483748272E-7
35004	2.3280274483748272E-7
52216	3.957646662237207E-6
70204	1.888030260631985E-4
70201	1.4620012375793915E-4
52214	2.3280274483748272E-7
70207	6.984082345124482E-7
70205	1.1221092301166668E-4
52226	2.3280274483748272E-7
70206	6.984082345124482E-7
52243	3.957646662237207E-6
35023	1.6296192138623792E-5
35024	2.3280274483748272E-7
52248	3.0264356828872755E-6
52255	5.587265876099586E-6
52261	4.6560548967496545E-7
70258	2.3280274483748272E-7
70273	2.3280274483748272E-7
70272	3.468760898078493E-5
70271	0.0042858985324580575
70290	1.617979076620505E-4
52433	2.3280274483748272E-7
70283	0.0012690077621091184
70301	4.264946285422684E-4
70298	2.816913212533541E-5
70297	2.886754035984786E-5
17153	0.0010415594804028976
17150	7.533496822940941E-4
70325	2.3280274483748272E-7
17148	4.3697075205995507E-4
70330	4.3766916029446755E-5
17144	6.681438776835754E-4
70329	1.0452843243202975E-4
17169	7.0841875254046E-4
17172	7.54280893273444E-5
17171	0.009376596153819292
17168	1.0080358851463002E-4
17187	2.886754035984786E-5
17185	2.3280274483748272E-7
17183	7.68249057963693E-6
52381	4.6933033359236516E-4
17182	7.68249057963693E-6
17176	1.1640137241874137E-6
52376	2.3280274483748272E-7
17174	5.820068620937068E-6
17198	2.3280274483748272E-7
52037	4.6560548967496545E-7
52040	3.0264356828872755E-6
12	2.3280274483748272E-7
52042	2.3280274483748272E-7
10	2.3280274483748272E-7
34700	2.3280274483748272E-7
9	9.312109793499309E-7
34701	2.1510973622983405E-4
15	4.968010574831882E-4
34702	2.0253838800861E-4
34703	1.7157562294522477E-4
34705	1.7157562294522477E-4
18	2.2721547896138315E-4
34707	3.09627650633852E-5
34708	8.450739637600623E-5
52031	5.587265876099586E-6
3	0.0013621288600441114
34728	2.444428820793569E-5
42	1.629619213862379E-6
41	0.003077419484006684
34736	2.3280274483748272E-7
50	2.56083019321231E-6
34739	2.793632938049793E-6
49	0.007873621633148503
52	1.6133230217237553E-4
23	9.312109793499309E-7
25	4.6560548967496545E-7
52060	2.3280274483748272E-7
26	1.3968164690248965E-6
27	2.600406659834682E-4
28	1.3968164690248965E-6
30	2.372259969893949E-4
34	2.0440080996730984E-4
35	2.3280274483748272E-7
34722	2.3280274483748272E-7
36	5.435944091955222E-4
51978	3.3756398001435E-5
34762	6.58831767890076E-5
51977	3.3756398001435E-5
34763	4.888857641587138E-6
34764	2.9565948594360307E-5
70	2.3280274483748272E-7
34765	6.58831767890076E-5
79	1.3968164690248965E-6
34766	4.888857641587138E-6
34767	2.9565948594360307E-5
51983	2.3280274483748272E-7
34754	1.6063389393786308E-5
51969	6.751279600286999E-6
34755	2.56083019321231E-6
64	4.842297092619641E-5
